English,Hindi,Complexity
Hello.,नमस्ते।,Low
The cat sits on the mat.,बिल्ली चटाई पर बैठी है।,Low
I like apples.,मुझे सेब पसंद हैं।,Low
She runs fast.,वह तेज दौड़ती है।,Low
They play outside.,वे बाहर खेलते हैं।,Low
We read books.,हम किताबें पढ़ते हैं।,Low
He drinks water.,वह पानी पीता है।,Low
The sun is bright.,सूरज चमकदार है।,Low
Birds sing.,पक्षी गाते हैं।,Low
Flowers bloom.,फूल खिलते हैं।,Low
The dog barks.,कुत्ता भौंकता है।,Low
I am happy.,मैं खुश हूँ।,Low
You are kind.,आप दयालु हैं।,Low
This is a pen.,यह एक कलम है।,Low
That is a car.,वह एक कार है।,Low
It is raining.,बारिश हो रही है।,Low
We are friends.,हम दोस्त हैं।,Low
She is a teacher.,वह एक शिक्षक है।,Low
He is a doctor.,वह एक डॉक्टर है।,Low
I eat rice.,मैं चावल खाता हूँ।,Low
They work hard.,वे कड़ी मेहनत करते हैं।,Low
The baby sleeps.,बच्चा सोता है।,Low
The tree is tall.,वृक्ष ऊँचा है।,Low
The sky is blue.,आकाश नीला है।,Low
The food tastes good.,भोजन स्वादिष्ट है।,Low
I see you.,मैं तुम्हें देखता हूँ।,Low
She loves music.,उसे संगीत पसंद है।,Low
He reads newspapers.,वह समाचार पत्र पढ़ता है।,Low
Birds fly.,पक्षी उड़ते हैं।,Low
Fish swim.,मछलियाँ तैरती हैं।,Low
The clock ticks.,घड़ी टिक-टिक करती है।,Low
The door opens.,दरवाजा खुलता है।,Low
The train arrives.,ट्रेन पहुंचती है।,Low
The phone rings.,फोन बजता है।,Low
I will finish my homework before dinner.,मैं रात के खाने से पहले अपना होमवर्क पूरा कर लूंगा।,Medium
She enjoys painting landscapes in her free time.,वह अपने खाली समय में परिदृश्य चित्रित करना पसंद करती है।,Medium
They visited the museum last Sunday.,उन्होंने पिछले रविवार को संग्रहालय का दौरा किया।,Medium
We are planning a trip to the mountains next month.,हम अगले महीने पहाड़ों की यात्रा की योजना बना रहे हैं।,Medium
He has never seen a shooting star.,उसने कभी उल्का-पिंड नहीं देखा।,Medium
I could not attend the meeting because I was sick.,मैं बीमार होने की वजह से बैठक में शामिल नहीं हो सका।,Medium
The team played exceptionally well in the final match.,टीम ने अंतिम मैच में असाधारण रूप से अच्छा खेल दिखाया।,Medium
"If it rains tomorrow, we will stay indoors.","अगर कल बारिश होती है, तो हम घर के अंदर रहेंगे।",Medium
The children are learning to swim this summer.,बच्चे इस गर्मी में तैरना सीख रहे हैं।,Medium
She has already completed the assignment.,उसने पहले ही असाइनमेंट पूरा कर लिया है।,Medium
They are building a new library in the town center.,वे शहर के केंद्र में एक नई लाइब्रेरी बना रहे हैं।,Medium
I would like to learn how to play the guitar.,मैं गिटार बजाना सीखना चाहूंगा।,Medium
He usually takes the bus to work.,वह सामान्यतः बस से काम पर जाता है।,Medium
We have been waiting for an hour.,हम एक घंटे से इंतजार कर रहे हैं।,Medium
The chef prepared a delicious meal for the guests.,शेफ ने मेहमानों के लिए एक स्वादिष्ट भोजन तैयार किया।,Medium
She will arrive at the airport by noon.,वह दोपहर तक हवाई अड्डे पर पहुंच जाएगी।,Medium
The company celebrated its anniversary with a grand event.,कंपनी ने अपने वर्षगांठ को एक भव्य कार्यक्रम के साथ मनाया।,Medium
He is writing a novel about his childhood.,वह अपने बचपन के बारे में एक उपन्यास लिख रहा है।,Medium
They had finished dinner before the guests arrived.,उन्होंने मेहमानों के आने से पहले रात का खाना खत्म कर लिया था।,Medium
I am considering adopting a pet dog.,मैं एक पालतू कुत्ता अपनाने पर विचार कर रहा हूँ।,Medium
She often travels abroad for business.,वह अक्सर व्यापार के लिए विदेश यात्रा करती है।,Medium
We visited several historical sites during our vacation.,हमने अपनी छुट्टियों के दौरान कई ऐतिहासिक स्थलों का दौरा किया।,Medium
The scientist conducted an important experiment yesterday.,वैज्ञानिक ने कल एक महत्वपूर्ण प्रयोग किया।,Medium
I changed my mind after talking to you.,तुमसे बात करने के बाद मैंने अपना मन बदल लिया।,Medium
She got promoted because of her dedication.,उसे उसकी निष्ठा के कारण पदोन्नति मिली।,Medium
They won the competition despite the odds.,उन्होंने सभी बाधाओं के बावजूद प्रतियोगिता जीती।,Medium
We enjoyed the concert despite the bad weather.,खराब मौसम के बावजूद हमने संगीत कार्यक्रम का आनंद लिया।,Medium
He lost his keys and had to call a locksmith.,उसने अपनी चाबियाँ खो दीं और ताले का तोड़ने वाले को बुलाना पड़ा।,Medium
She studied hard to get into her dream university.,उसने अपने सपनों की विश्वविद्यालय में प्रवेश पाने के लिए कड़ी मेहनत की।,Medium
The movie was both entertaining and thought-provoking.,यह फिल्म मनोरंजक और विचारोत्तेजक दोनों थी।,Medium
I forgot to lock the door last night.,मैंने कल रात दरवाजा बंद करना भूल गया।,Medium
They postponed the meeting until next week.,उन्होंने बैठक को अगले सप्ताह तक स्थगित कर दिया।,Medium
She painted the entire room by herself.,उसने पूरे कमरे को खुद ही पेंट किया।,Medium
"Despite the heavy traffic, I managed to arrive at the venue just in time.","भारी ट्रैफिक के बावजूद, मैं समय पर स्थल पर पहुँचने में कामयाब रहा।",High
"The novel, which had been forgotten for decades, was rediscovered in an attic.","उपन्यास, जिसे दशकों से भुला दिया गया था, एक अटारी में फिर से खोजा गया।",High
"Having worked tirelessly for months, they finally launched their startup successfully.","महीनों तक थके बिना काम करने के बाद, उन्होंने अंततः अपनी स्टार्टअप को सफलतापूर्वक लॉन्च किया।",High
"Although he was exhausted, he continued to work on the project until dawn.","हालाँकि वह थका हुआ था, उसने भोर तक परियोजना पर काम जारी रखा।",High
"The committee decided to postpone the decision, given the inconclusive data from the experiment.","अनुपयुक्त प्रयोग संबंधी डेटा को देखते हुए, समिति ने निर्णय स्थगित करने का फैसला किया।",High
"By the time we reached the station, the train had already departed.","जब तक हम स्टेशन पहुँचे, ट्रेन पहले ही रवाना हो चुकी थी।",High
"If I had known about the storm, I would have postponed my journey.","अगर मुझे तूफान के बारे में पता होता, तो मैंने अपनी यात्रा को स्थगित कर दिया होता।",High
"The documentary, praised by critics worldwide, explores the impact of climate change on marine life.",विषलेषकों द्वारा विश्वभर में सराहित यह वृत्तचित्र समुद्री जीवन पर जलवायु परिवर्तन के प्रभाव का अध्ययन करती है।,High
"She, being the eldest sibling, took on the responsibility of caring for her younger brothers and sisters.","वह, सबसे बड़ी बहन होने के नाते, अपने छोटे भाइयों और बहनों की देखभाल की जिम्मेदारी संभाली।",High
"Having been warned of the potential risks, they proceeded with caution.","संभावित जोखिमों की चेतावनी मिलने के बाद, उन्होंने सतर्कता से आगे बढ़ने का निर्णय लिया।",High
"The painting, though abstract in style, evokes a sense of nostalgia among its viewers.","चित्र, हालांकि अमूर्त शैली का है, अपने दर्शकों में एक तरह की नॉस्टेल्जिया की भावना जगाता है।",High
"While the proposal sounded promising, it lacked a comprehensive implementation plan.","जबकि प्रस्ताव आशाजनक लगता था, उसमें एक व्यापक कार्यान्वयन योजना की कमी थी।",High
"The scientist, whose research has revolutionized the field, received a prestigious award.","वह वैज्ञानिक, जिनके शोध ने इस क्षेत्र में क्रांति ला दी है, को एक प्रतिष्ठित पुरस्कार मिला।",High
"Unless you submit the report by Monday, you will miss the deadline.","जब तक आप रिपोर्ट सोमवार तक जमा नहीं करते, आप समय सीमा चूक जाएंगे।",High
"In spite of the challenges they faced, the expedition team reached the summit successfully.","उन चुनौतियों के बावजूद जो उनका सामना कर रही थीं, अभियान दल ने सफलतापूर्वक चोटी पर पहुंचा।",High
The architect designed the building to withstand earthquakes and severe weather conditions.,वास्तुकार ने इमारत को भूकंपों और कठोर मौसम की परिस्थितियों का सामना करने के लिए डिजाइन किया।,High
"After meticulously analyzing the data, the researchers published their groundbreaking findings.","डेटा का सूक्ष्मता से विश्लेषण करने के बाद, शोधकर्ताओं ने अपने क्रांतिकारी निष्कर्ष प्रकाशित किए।",High
"The legislation, aimed at reducing carbon emissions, has sparked widespread debate among policymakers.",कार्बन उत्सर्जन कम करने के उद्देश्य से बनाई गई यह कानूनन प्रस्तावना ने नीति निर्धारित करने वालों के बीच व्यापक बहस छेड़ दी है।,High
She rehearsed her speech multiple times to ensure it was flawless before the conference.,उसने सम्मेलन से पहले इसे निर्दोष बनाने के लिए अपना भाषण कई बार अभ्यास किया।,High
"Although the theory seemed plausible, it lacked empirical evidence to support it.","हालाँकि सिद्धांत यथार्थवादी लगता था, इसमें इसे समर्थन देने के लिए व्यावहारिक साक्ष्य की कमी थी।",High
"The novel’s intricate plot, weaving together multiple timelines, captivated the readers until the last page.","उपन्यास की जटिल कथा, जो कई समय रेखाओं को एक साथ बाँधती है, ने पाठकों को अंतिम पृष्ठ तक मंत्रमुग्ध कर रखा।",High
"Having spent years studying ancient civilizations, he authored a book on forgotten cultures.","प्राचीन सभ्यताओं का वर्षों तक अध्ययन करने के बाद, उन्होंने भूली-बिसरी संस्कृतियों पर एक पुस्तक लिखी।",High
"The policy, introduced during the economic downturn, provided relief to struggling businesses.",आर्थिक मंदी के दौरान पेश की गई यह नीति संघर्षशील व्यवसायों को राहत प्रदान करती है।,High
"If the results of the trial prove positive, the drug could be approved for public use.","यदि परीक्षण के परिणाम सकारात्मक साबित होते हैं, तो दवा को सार्वजनिक उपयोग के लिए मंजूरी दी जा सकती है।",High
"The festival, celebrated annually since the 17th century, attracts tourists from around the world.",17वीं सदी से प्रतिवर्ष मनाया जाने वाला यह त्योहार दुनिया भर के पर्यटकों को आकर्षित करता है।,High
"Whether we agree with the decision or not, we must abide by the regulations set forth by the committee.","चाहे हम इस निर्णय से सहमत हों या नहीं, हमें समिति द्वारा निर्धारित नियमों का पालन करना चाहिए।",High
"In order to achieve sustainable growth, companies must adapt to evolving market demands.","स्थायी विकास प्राप्त करने के लिए, कंपनियों को बढ़ती बाजार की मांगों के अनुकूल होना चाहिए।",High
"The historical monument, neglected for years, has now been restored to its former glory.",वर्षों तक उपेक्षित ऐतिहासिक स्मारक को अब उसकी पूर्व वैभव में पुनर्स्थापित किया गया है।,High
"Even though the path was treacherous, they navigated it successfully.","हालाँकि मार्ग बहुत खतरनाक था, उन्होंने इसे सफलतापूर्वक पार किया।",High
"The research, funded by multiple grants, explores the intersection of technology and ethics.",कई ग्रांट्स द्वारा वित्त पोषित यह शोध प्रौद्योगिकी और नैतिकता के संगम का अध्ययन करता है।,High
"Provided that the funding is secured, the project can commence next quarter.","बशर्ते कि फंडिंग सुनिश्चित हो जाए, परियोजना अगले तिमाही में शुरू हो सकती है।",High
"The artist, influenced by both modernism and surrealism, created a unique style.",आधुनिकतावाद और अतियथार्थवाद दोनों से प्रभावित कलाकार ने एक अद्वितीय शैली बनाई।,High
"While acknowledging the limitations of the study, the authors emphasized its significant contributions to the field.","अध्ययन की सीमाओं को स्वीकार करते हुए, लेखकों ने क्षेत्र में इसके महत्वपूर्ण योगदान पर जोर दिया।",High
