English,Hindi,Complexity,sonar_eng_emb,sonar_hin_emb,openai_eng_emb,openai_hin_emb,sonar_cos_sim,openai_cos_sim
Hello.,नमस्ते।,Low,"[ 0.00346697  0.00854047  0.00477157 ... -0.02184122 -0.00959695
  0.02638893]","[ 2.3626784e-02  1.0234638e-02 -1.5405351e-02 ... -3.8900118e-02
 -1.7805772e-03 -6.9576581e-06]","[-0.04336953 -0.01335241 -0.01405141 ...  0.00485723 -0.01906353
 -0.01618017]","[-0.0066911   0.01398716 -0.00420479 ... -0.00076118  0.01788282
 -0.01008485]",0.7669804,0.45270382885693905
The cat sits on the mat.,बिल्ली चटाई पर बैठी है।,Low,"[-1.3189184e-02  1.7360043e-02 -9.5985575e-05 ...  4.6240417e-03
  4.4278719e-02  1.3979018e-02]","[-0.00725165  0.00412549 -0.00667818 ...  0.0002804   0.03739
  0.00406074]","[-0.04412269 -0.00391444 -0.01197399 ...  0.00263373 -0.01868742
  0.00453414]","[-0.02195513 -0.02408569  0.00044968 ... -0.02212603 -0.02047398
 -0.00345221]",0.80773836,0.4932039207838633
I like apples.,मुझे सेब पसंद हैं।,Low,"[ 0.0364163   0.03553113  0.02718339 ... -0.05406429  0.02716365
  0.02006902]","[ 0.04187194  0.01001086  0.01826186 ... -0.04288751  0.03715902
 -0.01930822]","[-0.01713078 -0.00259826 -0.03022436 ... -0.01005888 -0.01908118
 -0.02613262]","[ 0.00516491  0.02790864 -0.01233462 ... -0.02011597 -0.00716405
  0.00291376]",0.8330542,0.5561752044330144
She runs fast.,वह तेज दौड़ती है।,Low,"[ 0.00599053  0.03020068 -0.00621111 ...  0.02054798  0.00388479
  0.00625251]","[ 0.01529779  0.0082102  -0.02103845 ...  0.02023464  0.02617518
 -0.00738854]","[ 0.03100444 -0.02849097 -0.00120876 ...  0.00324719 -0.00777369
 -0.02227504]","[ 0.00654423  0.00244423  0.0021502  ...  0.00735897 -0.0048129
 -0.00835112]",0.8441841,0.43641060687773287
They play outside.,वे बाहर खेलते हैं।,Low,"[ 0.01798655  0.05940684  0.0043121  ... -0.02315368  0.00615116
  0.0650323 ]","[ 0.04259098  0.02519153 -0.0151256  ... -0.00411515  0.01823488
  0.02208698]","[ 0.01209831 -0.0449736  -0.00966311 ...  0.01155428 -0.00389676
 -0.00521583]","[ 0.01309268 -0.04239267 -0.00692334 ... -0.00651815  0.00135384
 -0.01667238]",0.84244585,0.6129170077681357
We read books.,हम किताबें पढ़ते हैं।,Low,"[ 0.0058342   0.01292609 -0.02421716 ... -0.0171665   0.02731005
  0.04194497]","[ 0.00695796 -0.01834879 -0.03290776 ... -0.00749993  0.03293779
  0.00548425]","[ 0.00645137 -0.03538468 -0.01995803 ...  0.00184295 -0.0076925
 -0.01580149]","[-0.00823585 -0.01381497 -0.01269324 ... -0.00476144 -0.00941661
 -0.02043907]",0.8583581,0.6088793853124076
He drinks water.,वह पानी पीता है।,Low,"[ 0.00833615  0.01954884 -0.01005358 ... -0.03176058 -0.00276805
  0.03821249]","[ 0.018634    0.00440406 -0.03349332 ... -0.02731325  0.0181747
  0.00314102]","[ 0.01669559  0.01665118 -0.00536538 ...  0.00161146 -0.00627565
 -0.01653278]","[-0.00244163 -0.02228783 -0.00762322 ...  0.01288348 -0.00793789
 -0.00670297]",0.83060765,0.5751752236540975
The sun is bright.,सूरज चमकदार है।,Low,"[-0.00334817 -0.01084469  0.00514769 ... -0.00723839  0.01693873
  0.03570424]","[ 0.0038562  -0.03519454 -0.01070898 ... -0.00705146  0.03125231
  0.00882578]","[ 0.02857244 -0.0158965   0.00426366 ...  0.02360677  0.00022149
 -0.01374682]","[-0.02315162 -0.01875177 -0.00617551 ...  0.01250816  0.01112535
 -0.04144245]",0.8413756,0.4433267113893786
Birds sing.,पक्षी गाते हैं।,Low,"[-0.00454893 -0.00246449 -0.00372619 ... -0.00457362  0.01715421
 -0.01204602]","[ 0.00480433 -0.01695159 -0.01113682 ... -0.00097444 -0.00378006
 -0.01559043]","[-0.00138859  0.01130228  0.00203402 ...  0.01251767 -0.0074897
  0.00238045]","[-0.02379556 -0.00906339 -0.0029361  ...  0.00254762  0.00903671
  0.00796964]",0.8687899,0.39912071714812103
Flowers bloom.,फूल खिलते हैं।,Low,"[ 0.02492807  0.00373788 -0.01787268 ... -0.02544126  0.02026786
  0.02490282]","[ 0.01801068 -0.00721972 -0.02011416 ... -0.03400026  0.03895719
  0.00249797]","[-0.00101839  0.01305563 -0.00315665 ...  0.00251523  0.00106151
 -0.0172617 ]","[ 0.00630645 -0.00618051  0.00011679 ... -0.00433863  0.00760048
 -0.02657334]",0.8461324,0.5829055434703917
The dog barks.,कुत्ता भौंकता है।,Low,"[ 0.03129583 -0.01227818 -0.00959019 ... -0.03182696  0.02341861
 -0.01874346]","[ 0.02631156 -0.02352057  0.00093236 ... -0.0103391   0.03843737
 -0.02688195]","[-0.04977592 -0.00103275  0.00999598 ... -0.00123128 -0.0159994
 -0.0293031 ]","[-0.00793953 -0.04017183 -0.00666896 ... -0.00116342  0.00076675
 -0.01635324]",0.7009363,0.3122621799133118
I am happy.,मैं खुश हूँ।,Low,"[ 0.01441573  0.03273549  0.01268318 ... -0.00835473 -0.01603452
  0.00712254]","[ 0.0222512   0.01528706 -0.0159518  ... -0.00559133  0.01738124
 -0.00194815]","[ 0.00549791  0.02312213 -0.01387478 ... -0.00304477  0.0139803
 -0.01248806]","[ 0.00918373  0.00652443 -0.01570816 ... -0.02105905  0.0071758
  0.00479912]",0.79869145,0.6061384283564901
You are kind.,आप दयालु हैं।,Low,"[-0.00044386  0.00902552 -0.01472784 ... -0.06374611 -0.01328621
  0.01791099]","[ 0.00987988 -0.02483637 -0.01616105 ... -0.07176074 -0.01910027
 -0.00782982]","[-0.00051752  0.0205857  -0.01676045 ... -0.00285742  0.00145463
 -0.01748248]","[-0.01625474 -0.00790571 -0.00863785 ... -0.00134337  0.03019889
 -0.02145357]",0.80151933,0.34800561993038875
This is a pen.,यह एक कलम है।,Low,"[-0.00386237 -0.01801867  0.00577615 ...  0.0035737   0.03160166
 -0.01702533]","[-0.00936037 -0.00385474 -0.02247068 ...  0.02486057  0.04870339
 -0.02872749]","[-0.0194029   0.00647689 -0.018451   ... -0.00210211 -0.00991563
 -0.01078027]","[-0.02076493 -0.01471116 -0.02176534 ... -0.00876    -0.00783013
  0.00199922]",0.8378251,0.6046653299093264
That is a car.,वह एक कार है।,Low,"[-0.00684557 -0.03225166 -0.00018218 ...  0.00114347  0.02721843
  0.00352145]","[ 0.01716219 -0.03286372 -0.02442804 ...  0.0052647   0.04331437
 -0.02109599]","[-0.00480601  0.03667745 -0.02214875 ...  0.00258481 -0.00558857
  0.00275279]","[-0.01914031 -0.00789039 -0.02193348 ... -0.00805129  0.00419298
  0.00206753]",0.8189445,0.5595591494998419
It is raining.,बारिश हो रही है।,Low,"[ 0.02473384  0.01013927 -0.01418288 ... -0.03503966  0.01620572
  0.01616317]","[ 0.0153787  -0.00113333 -0.02805897 ... -0.02694692  0.01122057
 -0.00181517]","[ 0.00157896  0.02894429  0.00167826 ... -0.00497873 -0.00175494
 -0.00273909]","[-0.00295613 -0.00022466  0.00027077 ... -0.01693769 -0.01633758
  0.00643583]",0.84479356,0.678641281331042
We are friends.,हम दोस्त हैं।,Low,"[-0.00864456  0.02387612  0.02142034 ... -0.01635986 -0.01644729
  0.03931969]","[ 0.01399348 -0.00435455  0.00915638 ... -0.00462995  0.0070256
  0.01420992]","[-0.00392799 -0.00939033 -0.01999852 ... -0.00349333  0.00999926
  0.02232207]","[-0.00714857  0.01376597 -0.0270893  ... -0.00304589  0.01208395
  0.0252081 ]",0.8530294,0.6143850385284331
She is a teacher.,वह एक शिक्षक है।,Low,"[-0.02210043 -0.02234261  0.00611979 ... -0.02275925  0.016915
  0.00413061]","[ 0.00294701 -0.04713313 -0.00985591 ... -0.01392825  0.03400861
 -0.02470506]","[-0.01443483 -0.00275803 -0.00928498 ... -0.01072694 -0.00401688
  0.00253487]","[-0.02130676 -0.00596231 -0.00836156 ...  0.00253801  0.00215753
 -0.0023903 ]",0.8175092,0.5944054686047573
He is a doctor.,वह एक डॉक्टर है।,Low,"[-1.7638411e-02  2.7333360e-04 -2.8911592e-03 ... -8.3873030e-03
  4.9460981e-05  3.0178078e-02]","[-0.00674201 -0.01463536 -0.01736102 ... -0.0023195   0.01721109
 -0.00171723]","[ 0.01650748  0.01911901 -0.01604804 ... -0.01344457  0.01145367
 -0.01692661]","[ 0.00939832 -0.00338813 -0.01504006 ...  0.00361263  0.01605461
  0.0007472 ]",0.84069896,0.5841908008516328
I eat rice.,मैं चावल खाता हूँ।,Low,"[ 0.01737865  0.049616    0.00877398 ... -0.02162875  0.04260341
  0.02533979]","[ 0.03302074  0.03567794 -0.00297386 ... -0.01903191  0.06060571
 -0.01638088]","[ 0.00325285 -0.03175955 -0.02204372 ...  0.00966091  0.00991723
 -0.00551093]","[-0.00767287 -0.04592869 -0.01754884 ... -0.01423876  0.01226357
  0.00938217]",0.86367834,0.644623152393025
They work hard.,वे कड़ी मेहनत करते हैं।,Low,"[-0.00343759  0.00924406  0.02703262 ...  0.00051158 -0.03534569
  0.05868854]","[-0.0126623  -0.01829551 -0.00907253 ...  0.01242449 -0.00407648
  0.02926263]","[-0.00935102 -0.02450674 -0.00176324 ... -0.00106522 -0.01317083
 -0.02147207]","[-0.0035247  -0.00746254 -0.0104542  ...  0.00302301  0.00414258
 -0.01708675]",0.8332205,0.6651055541100663
